execStepTime	accCounter	accTime	accX	accY	accZ	gyrCounter	gyrTime	gyrX	gyrY	gyrZ	speed	cadence	assistMode	accDuX	accDuZ	pressure	smartphoneAtmPressure	hubConnection	mountingAngle	manualCrashFire	crashFire	crashClass	rollDeg	pitchDeg	tipOverFeature	groundHitFeature	collisionFeature	rideFeature	standFeature	riderlessRollOverFeature	smartphoneDropOutFeature	userCrashFeedBack	gpsLat	gpsLong	gpsAccuracy	gpsTimeStamp	inVehicle	onBicycle	onFoot	still	unknown	tilting	walking	running
1667935423	15771	667936.0827	-797	-25	470	15774	667936.0802	-9773	2826	6501	0	0	0	0	0	98240	98240	0	0	0	0	0	8.388074	-1.2813084	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15772	667936.0922	-858	-30	538	15775	667936.0897	-6439	3114	7087	0	0	0	0	0	98240	98240	0	0	0	0	0	8.42012	-1.2961841	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15773	667936.1018	-871	-35	539	15776	667936.0993	-4593	1242	9082	0	0	0	0	0	98240	98240	0	0	0	0	0	8.445053	-1.341919	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15774	667936.1113	-881	-23	501	15777	667936.1088	-6842	-1828	8942	0	0	0	0	0	98240	98240	0	0	0	0	0	8.437637	-1.3880202	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15775	667936.1208	-950	-13	513	15778	667936.1183	-10604	-866	6798	0	0	0	0	0	98241	98241	0	0	0	0	0	8.425158	-1.3963332	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15776	667936.1304	-933	-39	524	15779	667936.1279	-12459	1767	6842	0	0	0	0	0	98241	98241	0	0	0	0	0	8.433766	-1.386559	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15777	667936.1399	-912	-36	494	15780	667936.1374	-12958	2607	5354	0	0	0	0	0	98241	98241	0	0	0	0	0	8.443869	-1.3597591	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15778	667936.1494	-912	-36	478	15781	667936.1469	-12538	2677	4033	0	0	0	0	0	98241	98241	0	0	0	0	0	8.45066	-1.3244716	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15779	667936.1589	-923	-28	494	15782	667936.1564	-10902	2406	4532	0	0	0	0	0	98241	98241	0	0	0	0	0	8.459626	-1.3018227	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15780	667936.1685	-970	-38	545	15783	667936.166	-8137	1513	5267	0	0	0	0	0	98241	98241	0	0	0	0	0	8.467811	-1.30081	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15781	667936.178	-984	-49	558	15784	667936.1755	-4716	-428	6632	0	0	0	0	0	98241	98241	0	0	0	0	0	8.468987	-1.3330446	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15782	667936.1875	-976	-27	501	15785	667936.185	-3919	-3342	7498	0	0	0	0	0	98241	98241	0	0	0	0	0	8.448241	-1.3864707	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15783	667936.1971	-938	-21	434	15786	667936.1946	-6894	-5092	7131	0	0	0	0	0	98241	98241	0	0	0	0	0	8.405773	-1.4299829	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15784	667936.2066	-876	-14	408	15787	667936.2041	-10867	-4409	6536	0	0	0	0	0	98236	98236	0	0	0	0	0	8.361574	-1.4479831	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
1667935423	15785	667936.2161	-838	-13	424	15788	667936.2136	-13500	-2406	5591	0	0	0	0	0	98236	98236	0	0	0	0	0	8.328762	-1.4387021	0	0	0	0	0	0	0	-1	0	0	0	0	78	0	2	0	0	0	2	0
